NO, URL, DOMAIN
 1,"https://www.hindustantimes.com/india-news/","www.hindustantimes.com",
 2,"https://indianexpress.com/section/india/","indianexpress.com",
 3,"https://timesofindia.indiatimes.com/india/coronavirus-live-updates-india/liveblog/79806821.cms","timesofindia.indiatimes.com",
 4,"https://timesofindia.indiatimes.com/india","timesofindia.indiatimes.com",
 5,"https://www.financialexpress.com/india-news/","www.financialexpress.com",
 6,"https://www.indiatvnews.com/","www.indiatvnews.com",
 7,"https://www.ndtv.com/india/page-3","www.ndtv.com",
 8,"https://zeenews.india.com/india","zeenews.india.com",
 9,"https://www.firstpost.com/category/india","www.firstpost.com",
 10,"https://www.timesnownews.com/india","www.timesnownews.com",
 11,"https://www.dnaindia.com/india","www.dnaindia.com",
 12,"https://www.indiatoday.in/india","www.indiatoday.in",
 13,"https://www.republicworld.com/india-news","www.republicworld.com",
 14,"https://news.google.co.in/","news.google.co.in",
 15,"https://www.news18.com/india/","www.news18.com",
 16,"https://www.youtube.com/channel/UCYPvAwZP8pZhSMW8qs7cVCw","www.youtube.com",
 17,"https://www.bbc.com/news/world/asia/india","www.bbc.com",
 18,"https://www.livemint.com/news/india","www.livemint.com",
 19,"https://www.thehindu.com/","www.thehindu.com",
 20,"https://news.google.com/?gl=IN&hl=en-IN&ceid=IN:en","news.google.com",
 21,"https://edition.cnn.com/india","edition.cnn.com",
 22,"https://theprint.in/","theprint.in",
 23,"https://english.newsnationtv.com/india","english.newsnationtv.com",
 24,"https://english.jagran.com/","english.jagran.com",
 25,"https://www.aljazeera.com/news/2020/12/18/several-indian-farmers-dead-in-protests-against-farm-laws","www.aljazeera.com",
 26,"https://www.amarujala.com/india-news","www.amarujala.com",
 27,"https://www.wionews.com/india-news","www.wionews.com",
 28,"https://www.oneindia.com/","www.oneindia.com",
 29,"https://www.newindianexpress.com/","www.newindianexpress.com",
 30,"https://in.news.yahoo.com/","in.news.yahoo.com",
 31,"https://www.rediff.com/news","www.rediff.com",
 32,"https://thewire.in/","thewire.in",
 33,"https://www.moneycontrol.com/news/","www.moneycontrol.com",
 34,"https://scroll.in/","scroll.in",
 35,"https://www.bloombergquint.com/","www.bloombergquint.com",
 36,"https://in.reuters.com/","in.reuters.com",
 37,"https://www.business-standard.com/","www.business-standard.com",
 38,"https://www.theguardian.com/world/2020/dec/19/india-covid-10m-country-plans-vaccination-coronavirus","www.theguardian.com",
 39,"https://www.tribuneindia.com/","www.tribuneindia.com",
 40,"https://www.theweek.in/news/india.html?7046625","www.theweek.in",
 41,"https://www.opindia.com/","www.opindia.com",
 42,"https://www.abplive.com/news/india","www.abplive.com",
 43,"https://www.hotstar.com/in/india-news/1260026190","www.hotstar.com",
 44,"https://m.economictimes.com/news","m.economictimes.com",
 45,"https://www.outlookindia.com/","www.outlookindia.com",
 46,"https://play.google.com/store/apps/details?id=com.til.timesnews&hl=en&gl=US","play.google.com",
 47,"https://www.nationalheraldindia.com/","www.nationalheraldindia.com",
 48,"https://news.abplive.com/","news.abplive.com",
 49,"https://www.telegraphindia.com/","www.telegraphindia.com",
 50,"https://www.deccanchronicle.com/","www.deccanchronicle.com",
 51,"https://www.deccanherald.com/","www.deccanherald.com",
 52,"https://www.newsnow.co.uk/h/World+News/Asia/India","www.newsnow.co.uk",
 53,"https://www.businesstoday.in/","www.businesstoday.in",
 54,"https://www.aajtak.in/","www.aajtak.in",
 55,"https://www.sumanasa.com/","www.sumanasa.com",
 56,"https://www.dailypioneer.com/","www.dailypioneer.com",
 57,"https://www.zeebiz.com/india","www.zeebiz.com",
 58,"https://india.gov.in/","india.gov.in",
 59,"https://www.thenewsminute.com/","www.thenewsminute.com",
 60,"https://aninews.in/","aninews.in",
 61,"https://www.thequint.com/news","www.thequint.com",
 62,"https://www.espncricinfo.com/team/india-6","www.espncricinfo.com",
 63,"https://www.msn.com/en-in","www.msn.com",
 64,"https://www.worldometers.info/coronavirus/country/india/","www.worldometers.info",
 65,"https://www.patrika.com/india-news/","www.patrika.com",
 66,"https://www.businessinsider.in/","www.businessinsider.in",
 67,"http://newsonair.com/","newsonair.com",
 68,"https://www.sify.com/","www.sify.com",
 69,"https://www.who.int/india/news","www.who.int",
 70,"https://www.samachar.com/","www.samachar.com",
 71,"https://www.indiatv.in/","www.indiatv.in",
 72,"https://www.thebetterindia.com/","www.thebetterindia.com",
