NO, URL, DOMAIN
 1,"https://www.collinsdictionary.com/dictionary/english/modern-languages#:~:text=Modern%20languages%20refers%20to%20the,studied%20at%20school%20or%20university.","www.collinsdictionary.com",
 2,"https://www.mycollegeoptions.org/Content/Research/Major/Description/ModernLanguages.aspx","www.mycollegeoptions.org",
 3,"https://www.bachelorstudies.com/BA/Modern-Languages/","www.bachelorstudies.com",
 4,"https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/modern-languages-and-english.aspx","www.birmingham.ac.uk",
 5,"https://www.telc.net/en/about-telc/news/detail/the-worlds-newest-languages.html","www.telc.net",
 6,"https://en.wikipedia.org/wiki/Modern_language","en.wikipedia.org",
 7,"https://www.topuniversities.com/courses/modern-languages/guide","www.topuniversities.com",
 8,"https://www.ox.ac.uk/admissions/undergraduate/courses-listing/modern-languages","www.ox.ac.uk",
 9,"https://www.bachelorstudies.com/Bachelor/Modern-Languages/","www.bachelorstudies.com",
 10,"https://www.bachelorstudies.com/BA/Modern-Languages/","www.bachelorstudies.com",
 11,"https://dictionary.cambridge.org/dictionary/english/modern-languages","dictionary.cambridge.org",
 12,"https://www.prospects.ac.uk/careers-advice/what-can-i-do-with-my-degree/modern-languages","www.prospects.ac.uk",
 13,"https://www.arcadia.edu/college-arts-sciences/departments-faculty/modern-languages-cultures/why-study-modern-languages","www.arcadia.edu",
 14,"https://www.youtube.com/watch?v=FtLBNhuVJWY","www.youtube.com",
 15,"https://www.masterstudies.com/Masters-Degree/Modern-Languages/","www.masterstudies.com",
 16,"https://www.bath.ac.uk/courses/undergraduate-2021/modern-languages/","www.bath.ac.uk",
 17,"https://www.ncl.ac.uk/postgraduate/courses/degrees/modern-languages-mphil-phd/","www.ncl.ac.uk",
 18,"https://www.birmingham.ac.uk/undergraduate/courses/lang/modern-languages.aspx","www.birmingham.ac.uk",
 19,"https://www.theguardian.com/education/modernlanguages","www.theguardian.com",
 20,"https://www1.chester.ac.uk/departments/modern-languages","www1.chester.ac.uk",
 21,"https://www.cardiff.ac.uk/modern-languages","www.cardiff.ac.uk",
 22,"http://www.bristol.ac.uk/study/undergraduate/2017/modern-languages/ba-modern-languages/","www.bristol.ac.uk",
 23,"https://www.westmont.edu/_academics/departments/modern_languages/","www.westmont.edu",
 24,"https://www.manchester.ac.uk/study/undergraduate/subjects/modern-languages/","www.manchester.ac.uk",
 25,"https://www.coe.int/en/web/platform-plurilingual-intercultural-language-education/foreign-languages","www.coe.int",
 26,"https://programs.usask.ca/arts-and-science/modern-languages/index.php","programs.usask.ca",
 27,"https://international.ucam.edu/studies/bachelor-in-modern-language","international.ucam.edu",
 28,"https://onlinelibrary.wiley.com/journal/15404781","onlinelibrary.wiley.com",
 29,"https://www.gvsu.edu/mll/","www.gvsu.edu",
 30,"https://www.bentley.edu/academics/departments/modern-languages","www.bentley.edu",
 31,"https://www.southampton.ac.uk/ml/index.page","www.southampton.ac.uk",
 32,"https://www.exeter.ac.uk/undergraduate/courses/languages/modlang/","www.exeter.ac.uk",
 33,"https://udallas.edu/modernlanguages/","udallas.edu",
 34,"https://www.st-andrews.ac.uk/modern-languages/","www.st-andrews.ac.uk",
 35,"https://india.oup.com/section/school-edu/modern-foreign-languages/","india.oup.com",
 36,"https://www.manchester.edu/academics/colleges/college-of-arts-humanities/academic-programs/modern-languages/modern-languages-home","www.manchester.edu",
 37,"https://www.royalholloway.ac.uk/studying-here/undergraduate/languages-literatures-and-cultures/modern-languages-and-comparative-literature-and-culture/","www.royalholloway.ac.uk",
 38,"https://www.onlinestudies.com/Undergraduate-Course-Modern-Languages/Colombia/EAN-University/","www.onlinestudies.com",
 39,"https://www.essex.ac.uk/courses/ug00294/1/ba-modern-languages","www.essex.ac.uk",
 40,"https://www.ucmo.edu/academics/programs/majors/modern-languages-42-574-option-1-language-and-culture-ba/index.php","www.ucmo.edu",
 41,"https://www.k-state.edu/mlangs/","www.k-state.edu",
 42,"https://www.postgrad.com/courses/modern-languages/","www.postgrad.com",
 43,"https://www.daemen.edu/academics/areas-study/modern-languages","www.daemen.edu",
 44,"https://warwick.ac.uk/fac/arts/modernlanguages/","warwick.ac.uk",
 45,"https://www.lsesu.com/organisation/14714/","www.lsesu.com",
